# Loginserver Packets

0x2, SMVersionCheckResult
0x8F86, SMLoginResult
0x3D96, SMPCRoomStateNotify
0x904A, SMWorldSelectResult

# Gameserver Packets

0x619E, SMPaidShopSettingNotify
0xBD00, SMWallpaperListResult
0xBDC6, SMPCListResult
0x9CFE, SMPCSelectResult
0x70A4, SMPaidCashCheckResult
0xC49F, SMPaidPurchaseCheckResult

0x9F1A, SMSlideNoticeUpdateNotify

# Unencountered / Unsorted Packets

0xBC0B, SMAbilityChangeNotify
0x230A, SMAbilityEngraveItemResult
0x9B84, SMAbilityExecuteNotify
0x9CA8, SMAbilityFeatureChangeNotify
0x8DD8, SMAbilityFeatureCooldownNotify
0x26A3, SMAbilityUnlockNotify
0x4D7E, SMAbilityUnlockResult
0xD39D, SMAbnormalMoveFailNotify
0x2EC9, SMAbnormalMoveIgnoreNotify
0x5794, SMAbnormalMoveNotify
0xD1E5, SMAccountAttendanceLimitNotify
0x7E0E, SMAchievementEventResult
0xB58D, SMAchievementFinishNotify
0xAE6C, SMAchievementObserverNotify
0x3515, SMAchievementUpdateNotify
0x86D4, SMActiveAbilityNotify
0x6214, SMAddictionStateNotify
0x5616, SMAddonSkillFeatureChangeNotify
0x88F9, SMAddWorldIslandData
0x9A5, SMAdminMessageNotify
0x9724, SMAdminStateNotify
0x61A7, SMAdvBookUpdateNotify
0x99B1, SMAdventureMatterAddedNotify
0xC92C, SMAdvRewardRequestResult
0xC0E0, SMAdvSummaryRequestResult
0xC025, SMAIDevLogNotify
0xAD45, SMAnchorVolumeEnterResult
0x23F1, SMAnnounceNotify
0x37B7, SMAntiHackerDataToClient
0x8535, SMAntiHackerShowTip
0x5DEC, SMApplyItemEffectNotify
0x242D, SMApplyQuestItemEffectNotify
0xA753, SMAssemblePrepareNotify
0x3EBA, SMAuthError
0x34D4, SMAuxPasswordAsk
0x38DB, SMAuxPasswordChangeResult
0x71BE, SMAuxPasswordCheckResult
0x88E9, SMAuxPasswordRefreshResult
0x35B1, SMAvatarHideNotify
0x1975, SMAvatarHideResult
0x3004, SMAvatarReformPointNotify
0xAD7F, SMAvatarReformResult
0xDBA6, SMBalloonNotify
0x9229, SMBattlefieldBanPlayerNotify
0x8F9, SMBattlefieldBanPlayerResult
0xC983, SMBattlefieldBoardOpenResult
0xBDEE, SMBattlefieldCancelNotify
0x28AE, SMBattlefieldCancelResult
0x628D, SMBattlefieldCreateNotify
0x7667, SMBattlefieldDeathmatchEntranceNotify
0x27D4, SMBattlefieldDeathmatchResultNotify
0xB519, SMBattlefieldDeathmatchScoreNotify
0x2B01, SMBattlefieldDestroyNotify
0x58BB, SMBattlefieldEnlistNotify
0x9663, SMBattlefieldEnlistResult
0x55F4, SMBattlefieldEntererCountNotify
0x4A67, SMBattlefieldEntererGetResult
0x86CE, SMBattlefieldEnterResult
0x4953, SMBattlefieldEntranceNotify
0x28E4, SMBattlefieldEntranceStateNotify
0x68BB, SMBattlefieldEntryRestrictionExpireNotify
0x10E, SMBattlefieldEventNotify
0x596D, SMBattlefieldExitResult
0xC5D2, SMBattlefieldFieldBossResultNotify
0x85B7, SMBattlefieldGiveupNotify
0x1F68, SMBattlefieldGiveupResult
0x86DF, SMBattlefieldGuildGradePointVoteResult
0x7469, SMBattlefieldInviteAcceptNotify
0xD8A4, SMBattlefieldInviteNotify
0x37CF, SMBattlefieldInviteResult
0x8965, SMBattlefieldLastWeekRankResult
0x7FB1, SMBattlefieldLeaveNotify
0xA0B6, SMBattlefieldMatchStatusResult
0x29BA, SMBattlefieldMemberNotify
0xBC55, SMBattlefieldMercenaryGradePointVoteResult
0x44DA, SMBattleFieldMercenaryRecruitAcceptNotify
0x4221, SMBattleFieldMercenaryRecruitAcceptResult
0x84C, SMBattlefieldMercenaryRecruitCreateResult
0x9E07, SMBattleFieldMercenaryRecruitDestroyNotify
0xE606, SMBattlefieldMercenaryRecruitDestroyResult
0x970F, SMBattlefieldMercenaryRecruitGuildPCJoinListResult
0x33C0, SMBattlefieldMercenaryRecruitInspectResult
0x9C8D, SMBattleFieldMercenaryRecruitJoinNotify
0xAEF5, SMBattleFieldMercenaryRecruitJoinResult
0x6527, SMBattleFieldMercenaryRecruitLeaveNotify
0x6882, SMBattleFieldMercenaryRecruitLeaveResult
0xD5CB, SMBattlefieldMercenaryRecruitPCJoinListResult
0x127E, SMBattleFieldMercenaryRecruitRejectNotify
0xDD1E, SMBattleFieldMercenaryRecruitRejectResult
0x3BC1, SMBattlefieldMercenaryRecruitSearchResult
0xE760, SMBattlefieldOccupiedStatusResult
0xE1EF, SMBattlefieldPositionNotify
0xAF46, SMBattlefieldRankStatusResult
0xA513, SMBattlefieldRunawayNotify
0x709D, SMBattlefieldScheduleNotify
0xC5BD, SMBattlefieldSelectResult
0xC01F, SMBattlefieldStateNotify
0x12DB, SMBattlefieldTroopInviteResult
0x67B6, SMBattlefieldUnearnedWinMatchingNotify
0x7CE2, SMBattlefieldVoteNotify
0x9BD9, SMBattlefieldVoteResultNotify
0x8A2, SMBattlefieldVoteStartNotify
0x6324, SMBattlefieldVoteSuggestResult
0x956C, SMBattlefieldWeeklyRewardNotify
0xE133, SMBattleSlotChangeResult
0x7166, SMBattleSlotSwapResult
0x41F, SMBattleSlotUpdateNotify
0xAA73, SMBeaconTouchNotify
0x82DC, SMBechasedObjectDestroyNotify
0xBF9F, SMBechasedObjectPositionNotify
0x8949, SMBlockSkillStateNotify
0xC224, SMBuddyGroupAddResult
0xC871, SMBuddyGroupModifyResult
0xD098, SMBuddyGroupRemoveResult
0xD941, SMBuddyInit
0x4C6C, SMBuddyModifyResult
0x10AC, SMBuddyRequestNotify
0x4D76, SMBuddyRequestResult
0x3914, SMBuddyUpdateNotify
0x8113, SMBusinessEventHotTimeNotify
0xBFF0, SMBusinessEventHotTimeRewardDataNotify
0x7B93, SMBusinessEventHotTimeRewardResult
0x92, SMBusinessEventRollBookNotify
0x53C3, SMBusinessEventRollBookRewardResult
0x8BAC, SMCalendarAutoRegisterResult
0xD2FA, SMCalendarRegisterResult
0x4B98, SMCardAddResult
0xAC4A, SMCardBattleCancelResult
0xD292, SMCardBattleFinishNotify
0x4695, SMCardBattlePrepare
0xBEF5, SMCardBattleRequestResult
0x5B71, SMCardBattleRoundFinishNotify
0x84B5, SMCardBattleRoundResult
0x69EC, SMCardBattleStartNotify
0x5CDC, SMCardDeckChangeResult
0xA551, SMCardDeckExpandResult
0x5683, SMCardDeckNameResult
0x5C0E, SMCardEnhanceLevelResult
0xDB2F, SMCardGrowExpResult
0xC802, SMCardInheritSkillResult
0x7346, SMCardRemoveResult
0xC52F, SMCardStorageExpandResult
0x3068, SMCarryingPropDisappearNotify
0x1391, SMChainSkillActiveNotify
0x95B7, SMChangeIdleNotify
0x1459, SMChangeInteractionStatusNotify
0x6F85, SMChangeLifeVesselNotify
0x44E7, SMChaosDungeonChangeNotify
0x3CA4, SMChaosDungeonEntranceCountNotify
0x6A70, SMChaosDungeonInfoNotify
0xA7CC, SMChaosDungeonRewardNotify
0x4B0C, SMChaosGateAnnounce
0xCE89, SMChaosGateInfoNotify
0x72F5, SMChaosGateJoinResult
0xE70D, SMChaosGatePlayerPositionNotify
0xD960, SMChaosGateStateListNotify
0xC057, SMChaosGateStateNotify
0xD4C0, SMCharacterTendencyStatusNotify
0x994C, SMChatAroundError
0x8FBA, SMChatAroundNotify
0xA199, SMChatCastError
0x44D3, SMChatCastNotify
0x587A, SMChatEnterResult
0x3081, SMChatLeaveResult
0x742, SMChatSignOffResult
0x650D, SMChatSignOnResult
0xA4AB, SMChatWhisperError
0x826B, SMChatWhisperNotify
0xE41, SMClearChainSkillNotify
0x9DB1, SMClientEventTriggerStartNotify
0x3520, SMClientEventTriggerStartOtherNotify
0xD637, SMClientExecute
0x2431, SMClientPhaseEnd
0x8B4F, SMColosseumConfirmNotify
0xD0A2, SMColosseumCustomPrepareResult
0xF4E, SMColosseumCustomRequestNotify
0x2B8F, SMColosseumEnlistNotify
0xDFD4, SMColosseumFeverTimeNotify
0x5CC6, SMColosseumFinishNotify
0x62D7, SMColosseumKillNotify
0x4102, SMColosseumLeaveNotify
0xE0B, SMColosseumLoadingInfoNotify
0x2DFA, SMColosseumMatchingCanceledNotify
0xC136, SMColosseumMatchingReadyNotify
0xE10D, SMColosseumMemberQuickSlotNotify
0x4438, SMColosseumMemberSkillInfo
0x28C2, SMColosseumMemberStatNotify
0x363E, SMColosseumObserverReadyNotify
0x766B, SMColosseumOrderSelectNotify
0xE2DC, SMColosseumRankingBoardResult
0xB936, SMColosseumRankingSummaryDataNotify
0x62E6, SMColosseumReadyNotify
0x7E77, SMColosseumRewardNotify
0xA698, SMColosseumRoundStateNotify
0x87D4, SMColosseumScheduleQueryResult
0xB083, SMColosseumSkillCooldownNotify
0x9D29, SMColosseumStateNotify
0x9BC3, SMColosseumWinningTeamNotify
0xA2DC, SMCombatStatusNotify
0xDDDA, SMCommonActionClickNpcNotify
0xCE01, SMCommonActionCooldownNotify
0xA72B, SMCommonActionError
0xDF6F, SMCommonActionFinishNotify
0x250C, SMCommonActionItemUseNotify
0x6C4, SMCommonActionLifeResultNotify
0x6E20, SMCommonActionListAddNotify
0x92F5, SMCommonActionListUpdateNotify
0x4EE6, SMCommonActionPassiveSuccessNotify
0x63C0, SMCommonActionPropDropNotify
0x4190, SMCommonActionPropPickupNotify
0x1BE6, SMCommonActionPropThrowNotify
0xEF5, SMCommonActionQuestItemUseNotify
0x7D7A, SMCommonActionRemoveNotify
0x2080, SMCommonActionStageChangeNotify
0x840C, SMCommonActionStartNotify
0x642E, SMCommonActionToggleStateNotify
0x8994, SMCommonActionVehicleEnterNotify
0xE032, SMCommonActionVehicleLeaveNotify
0x9109, SMContentsBookmarkDeleteResult
0x19EC, SMContentsBookmarkUpdateResult
0x3E3C, SMContentsConfigUpdateResult
0x32BF, SMContentsUnlockNotify
0xD19E, SMCoopQuestContributionNotify
0x6587, SMCoopQuestJoinMemberNotify
0xBF4D, SMCoopQuestJoinNotify
0x15B2, SMCoopQuestLeaveMemberNotify
0x3A65, SMCoopQuestLeaveNotify
0x8602, SMCoopQuestMemeberListUpdateNotify
0xE0A, SMCoopQuestMemeberSymbolUpdateNotify
0x17AF, SMCoopQuestPrepareNotify
0xB77C, SMCoopQuestUpdateNotify
0x1278, SMCrewAddResult
0xBD10, SMCrewRemoveResult
0x1388, SMCumulativePointChangeNotify
0xCBC8, SMCumulativePointRewardRequestNotify
0x4CAD, SMDailyQuestRestPointUseNotify
0xBF34, SMDeathNotify
0x7E6C, SMDevMessageNotify
0x3A50, SMDevQueryInfoNotify
0xB92C, SMDevShapeNotify
0x4E36, SMDevSkillLogNotify
0x3C4C, SMDropBaseLimitAnnounce
0x25F8, SMDropLimitAddNotify
0x7FB3, SMDuelAcceptNotify
0x6B52, SMDuelAcceptResult
0x15C4, SMDuelFinishNotify
0xE986, SMDuelGiveupResult
0x9142, SMDuelReadyNotify
0xFA6, SMDuelRequestNotify
0x1A1E, SMDuelRequestResult
0x821B, SMDuelStartNotify
0x85A2, SMDungeonCancelNotify
0x6B00, SMDungeonConfirmNotify
0x3C08, SMDungeonDifficultyChangeNotify
0x6515, SMDungeonEnlistNotify
0x38A3, SMDungeonEnterFailNotify
0x2E04, SMDungeonEnterVoteStartNotify
0x2F71, SMDungeonEntranceNotify
0x90, SMDungeonFirstVisitorNotify
0x6464, SMDungeonReadyNotify
0x6040, SMDungeonRestartVoteStartNotify
0xDC7A, SMDynamicIslandAddNotify
0x1981, SMDynamicIslandEnterReserveNotify
0x361, SMDynamicIslandRemoveNotify
0xDA5D, SMEnterWorldCompleted
0xC970, SMEquipChangeNotify
0x1011, SMEquipLifeToolChangeNotify
0x1085, SMEquipPresetApplyResult
0x9A52, SMEquipPresetExpandResult
0xCF12, SMEquipPresetModifyResult
0x1544, SMEquipPresetRemoveItemResult
0x1907, SMEscapeResultNotify
0x3ADE, SMExcessCardGetResult
0xC366, SMExcessPCGetResult
0x1C8D, SMExcessPCPutResult
0x83BD, SMExcessPropertyGetResult
0x641, SMExpeditionExpUpdate
0xA5D5, SMExpeditionLevelChangeNotify
0x51C2, SMExpeditionRewardRequestResult
0xBEF6, SMExplorationResult
0xE8BC, SMExpUpdate
0xD37E, SMFactionChangeNotify
0x898C, SMFishingSchoolGaugeNotify
0x3F19, SMFloatingMatterCreateNotify
0x3E1C, SMFloatingMatterManageResult
0x1D0F, SMFloatingMatterRemoveNotify
0xAC61, SMForceSetAnim
0x87CE, SMGameReportQueryResult
0x1DA, SMGatherQuestItemFailNotify
0x15C, SMGeneralError
0x979A, SMGeneralErrorList
0xE77C, SMGeneralMessage
0x4CF7, SMGeneralRequestNotify
0x27, SMGeneralRequestResult
0x99AB, SMGuildAttendanceResult
0x455E, SMGuildBattlefieldHistoryUpdateNotify
0x49EE, SMGuildBattlefieldMercenaryHistoryResult
0xA0B3, SMGuildBattlefieldMercenaryListResult
0x13F7, SMGuildBattlefieldMercenaryMemberAddNotify
0xD9CD, SMGuildBattlefieldMercenaryMemberRemoveNotify
0xCC68, SMGuildChangeNotify
0xB59D, SMGuildCreateResult
0x62B6, SMGuildDelegateResult
0x1305, SMGuildDisbandNotify
0x605A, SMGuildDistributionSetNotify
0x4665, SMGuildDistributionSetResult
0xCFC, SMGuildDonationResult
0x7CB2, SMGuildExpNotify
0x5018, SMGuildHistoryResult
0x9C14, SMGuildHistoryUpdateNotify
0xB449, SMGuildInfo
0x4539, SMGuildInviteAcceptNotify
0xBF27, SMGuildInviteAcceptResult
0xCC22, SMGuildInviteNotify
0x7511, SMGuildJoinAcceptNotify
0xE056, SMGuildJoinResult
0x7ED9, SMGuildKickResult
0x6217, SMGuildLeaveNotify
0x3306, SMGuildLeavePenaltyInfo
0x21A1, SMGuildMajorUpdateNotify
0xB4A8, SMGuildMemberAddNotify
0xA115, SMGuildMemberMajorUpdateNotify
0xCE54, SMGuildMemberMinorUpdateNotify
0x38E8, SMGuildMemberRemoveNotify
0x7840, SMGuildMemberUpdateResult
0xBD25, SMGuildModifyGradeResult
0xD84F, SMGuildModifyHeaderResult
0x3BE9, SMGuildModifyRecommendationResult
0xD1F, SMGuildNameCheckResult
0x7D03, SMGuildPendingJoinListResult
0xB98A, SMGuildPendingJoinListUpdateNotify
0x5645, SMGuildPendingJoinNotify
0x35D8, SMGuildPromoteResult
0x3079, SMGuildResearchInfo
0x8B72, SMGuildResearchResult
0xD9F9, SMGuildResearchSupportResult
0x36FB, SMGuildResearchUpdateNotify
0x2A41, SMGuildResourceHistoryNotify
